название;станция;цена
Черетто;Цветной бульвар\Трубная;$$$
Грабли;Цветной бульвар\Трубная;$$
Шоколадница;Цветной бульвар\Трубная;$
Жан-Жак;Цветной бульвар\Трубная;$$
Пироги Вино и Гусь;Цветной бульвар\Трубная;$$
Glenuill;Цветной бульвар\Трубная;$$
PRIME;Цветной бульвар\Трубная;$$
Lao Lee;Цветной бульвар\Трубная;$
Миллениум;Цветной бульвар\Трубная;$$
Табера;Цветной бульвар\Трубная;$
J'Pan;Цветной бульвар\Трубная;$$
Сыто Пьяно;Цветной бульвар\Трубная;$
Krispy Creme;Цветной бульвар\Трубная;$$
Хлеб Насущный;Цветной бульвар\Трубная;$$
OneBucks Coffee;Цветной бульвар\Трубная;$
Старбакс;Цветной бульвар\Трубная;$$
Штолле;Цветной бульвар\Трубная;$$
Чебуречная Дружба;Сухаревская;$
PRIME;Сухаревская;$
Courvoisier Cafe;Сухаревская;$$
Кофе Хауз;Сухаревская;$$
Чебуречная СССР;Сухаревская;$
Натахтари;Сухаревская;$$
Coffee Bean;Сухаревская;$$
Старбакс;Кузнецкий мост\Лубянка;$$
Грабли;Кузнецкий мост\Лубянка;$$
МУ-МУ;Кузнецкий мост\Лубянка;$$
Шоколадница;Кузнецкий мост\Лубянка;$
Cinnabon;Кузнецкий мост\Лубянка;$$
Coffee Like;Кузнецкий мост\Лубянка;$
Rogalik;Кузнецкий мост\Лубянка;$$
ДаблБи;Кузнецкий мост\Лубянка;$$
Папа Вейдер;Кузнецкий мост\Лубянка;$$
Unlock Cafe;Китай-город;$$
PRIME;Китай-город;$$
Кофе Бюро;Китай-город;$$
Шоколадница;Китай-город;$
Люди как люди;Китай-город;$
Натахтари;Китай-город;$$
