название;станция;цена
Villa Pasta;Цветной бульвар\Трубная;$$$
Valenok;Цветной бульвар\Трубная;$$
Фаренгейт;Цветной бульвар\Трубная;$$$
Горыныч;Цветной бульвар\Трубная;$$$
Goodman стейк-хаус;Цветной бульвар\Трубная;$$$
The mad cook;Цветной бульвар\Трубная;$$$
Probka на Цветном;Цветной бульвар\Трубная;$$$
Pizza Hut;Цветной бульвар\Трубная;$$
Счастье на Крыше;Цветной бульвар\Трубная;$$
Sacebela;Цветной бульвар\Трубная;$$
Узбекистан;Цветной бульвар\Трубная;$$$
Белое солнце пустыни;Цветной бульвар\Трубная;$$$
Тажин;Цветной бульвар\Трубная;$$
Рыба моя;Цветной бульвар\Трубная;$$$
Китайская грамота;Тургеневская\Чистые пруды\Сретенский бульвар;$$$
Roberto;Цветной бульвар\Трубная;$$$
Паста и Баста;Цветной бульвар\Трубная;$$
Брянский бык;Тургеневская\Чистые пруды\Сретенский бульвар;$$
Бенвенуто;Тургеневская\Чистые пруды\Сретенский бульвар;$$
Козловица;Цветной бульвар\Трубная;$$
Долма;Тургеневская\Чистые пруды\Сретенский бульвар;$$$
Кафе Пушкарёв;Цветной бульвар\Трубная;$$
Pho Point;Цветной бульвар\Трубная;$$$
Defaqto;Цветной бульвар\Трубная;$$
Шотландская клетка;Сухаревская;$$$
Мацони;Сухаревская;$$
Центральный рынок;Цветной бульвар\Трубная;$$
Black Star Burger;Цветной бульвар\Трубная;$$
Сахли;Цветной бульвар\Трубная;$$
Пита&Сувлаки;Цветной бульвар\Трубная;$$
Da Pino;Цветной бульвар\Трубная;$$
Элефант;Цветной бульвар\Трубная;$$
Кофемания Неглинная;Цветной бульвар\Трубная;$$$
Burger Heroes;Цветной бульвар\Трубная;$$
Джимми Ли;Сухаревская;$$
Food Embassy;Сухаревская;$$$
Лепим Варим;Сухаревская;$$
Burger Heroes;Сухаревская;$$
Burger Heroes;Тургеневская\Чистые пруды\Сретенский бульвар;$$
Шербет;Тургеневская\Чистые пруды\Сретенский бульвар;$$
Джонджоли;Тургеневская\Чистые пруды\Сретенский бульвар;$$
Marketplace;Тургеневская\Чистые пруды\Сретенский бульвар;$$
Южане;Тургеневская\Чистые пруды\Сретенский бульвар;$$$
На мельнице;Тургеневская\Чистые пруды\Сретенский бульвар;$$$
Урюк;Тургеневская\Чистые пруды\Сретенский бульвар;$$
Babetta;Тургеневская\Чистые пруды\Сретенский бульвар;$$
I Van Gogh;Кузнецкий мост\Лубянка;$$$
Рамен-Клаб;Кузнецкий мост\Лубянка;$$
Филиал;Кузнецкий мост\Лубянка;$$
Кулинарная Лавка Братьев Караваевых;Кузнецкий мост\Лубянка;$$
Грузинские каникулы;Кузнецкий мост\Лубянка;$$
Молдова;Кузнецкий мост\Лубянка;$$
Хищник Стейкс&Бургерс;Кузнецкий мост\Лубянка;$$
FАРШ;Кузнецкий мост\Лубянка;$$
Джаганнат;Кузнецкий мост\Лубянка;$$
Серебряный век;Кузнецкий мост\Лубянка;$$$
Osteria Mario;Кузнецкий мост\Лубянка;$$
Bon App Cafe;Кузнецкий мост\Лубянка;$$
Тануки;Кузнецкий мост\Лубянка;$$
Il Pittore;Кузнецкий мост\Лубянка;$$
Разведка;Кузнецкий мост\Лубянка;$$
Рыбы нет;Кузнецкий мост\Лубянка;$$$
Il Forno;Кузнецкий мост\Лубянка;$$$
Бараshka;Кузнецкий мост\Лубянка;$$$
Кофемания Новая Площадь;Кузнецкий мост\Лубянка;$$$
Wine and Crab;Кузнецкий мост\Лубянка;$$
Колковна;Китай-город;$$
Camorra Pizza e Birra;Китай-город;$$
Экспромт;Китай-город;$$
Officina;Китай-город;$$
Джонджоли;Китай-город;$$
Гастробар Рёберная;Китай-город;$$
Justa Pasta;Китай-город;$$
Китайский летчик Джао Да;Китай-город;$$
Папа Джонс;Китай-город;$
Ваби Саби;Китай-город;$
Центральный рынок на Маросейке;Китай-город;$$
Casa Agave;Китай-город;$$
Замечательные люди;Китай-город;$$
Высота 5642;Китай-город;$$$
Кимчи;Китай-город;$$
Хинкали Point;Китай-город;$$
Пицца 22 сантиметра;Китай-город;$$
Хачапури;;Тургеневская\Чистые пруды\Сретенский бульвар;$$
Saperavi cafe;Китай-город;$$
Scrocchiarella;Китай-город;$$
Ketch Up;Китай-город;$$
Extra Virgin;Китай-город;$$
Шатер;Китай-город;$$
Ноев Ковчег;Китай-город;$$$
Экспедиция;Китай-город;$$$
Forbes;Китай-город;$$$
Восход;Китай-город;$$$
Гастоцентр Зарядье;Китай-город;$$$
Старая Башня;Театральная\Охотный ряд\Площадь революции;$$
Страна которой нет;Театральная\Охотный ряд\Площадь революции;$$
Osteria Mario;Театральная\Охотный ряд\Площадь революции;$$
La Bottega Siciliana;Театральная\Охотный ряд\Площадь революции;$$$
Bosco Cafe;Театральная\Охотный ряд\Площадь революции;$$$
Menza;Театральная\Охотный ряд\Площадь революции;$$
Гранд Кафе Dr Живаго;Театральная\Охотный ряд\Площадь революции;$$$
Белуга;Театральная\Охотный ряд\Площадь революции;$$$
ВьетКафе;Театральная\Охотный ряд\Площадь революции;$$
Il Patio;Театральная\Охотный ряд\Площадь революции;$$
ТоДаСё;Театральная\Охотный ряд\Площадь революции;$$
Уголек;Театральная\Охотный ряд\Площадь революции;$$$
Северяне;Театральная\Охотный ряд\Площадь революции;$$
Простые вещи;Театральная\Охотный ряд\Площадь революции;$$
Годунов;Театральная\Охотный ряд\Площадь революции;$$$
